Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,3p,C_0603_1608Metric,144.1,-130.775,270,top
C2,10u,C_0603_1608Metric,116.967,-98.171,270,top
C3,10u,C_0603_1608Metric,131.109,-82.493,0,top
C4,10u,C_0603_1608Metric,136.017,-101.6,270,top
C5,10n,C_0603_1608Metric,128.074,-85.808,90,top
C6,220u,CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder,122.047,-91.211,270,top
C7,10u,C_0603_1608Metric,113.792,-98.311,270,top
C8,10u,C_0603_1608Metric,134.424,-85.668,90,top
C9,10u,C_0603_1608Metric,140.462,-98.425,180,top
C12,DNI,C_0603_1608Metric,85.55,-119.1,90,top
C13,DNI,C_0603_1608Metric,85.55,-123.5,270,top
C14,4.7p,C_0603_1608Metric,95.15,-115.8,270,top
C15,4.7p,C_0603_1608Metric,95.15,-126.7,90,top
C16,0.1u,C_0603_1608Metric,103.235,-118.15,180,top
C17,0.1u,C_0603_1608Metric,94.342,-119.752,180,top
C18,0.1u,C_0603_1608Metric,103.235,-119.674,180,top
C19,0.1u,C_0603_1608Metric,94.342,-118.2,180,top
C20,0.1u,C_0603_1608Metric,103.235,-124.246,180,top
C21,0.1u,C_0603_1608Metric,94.329,-121.276,180,top
C22,4.7p,C_0603_1608Metric,100.55,-116.2,180,top
C23,4.7p,C_0603_1608Metric,99.35,-127.7,180,top
C24,10u,C_0603_1608Metric,103.235,-122.722,180,top
C25,10u,C_0603_1608Metric,94.342,-124.324,180,top
C26,10u,C_0603_1608Metric,103.235,-121.198,180,top
C27,10u,C_0603_1608Metric,94.355,-122.8,180,top
C28,220u 25V tantalum,CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder,109.885,-56.02,90,top
C29,10u,C_0603_1608Metric,112.425,-65.545,270,top
C30,0.1u,C_0603_1608Metric,114.33,-72.53,270,top
C31,220u tantalum 25V,CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder,129.57,-56.02,90,top
C32,10u,C_0603_1608Metric,133.38,-54.75,270,top
C33,220u tantalum 25V,CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder,144.7,-72,0,top
