,0
0,1759.0
1,1759.0
2,2161.0
3,2563.0
4,2965.0
5,3467.0
6,3868.0
7,4269.0
8,4671.0
9,5172.0
10,5573.0
11,5973.0
12,6374.0
13,6874.0
14,7273.0
15,7673.0
16,8172.0
17,8571.0
18,8969.0
19,9367.0
20,9865.0
21,10262.0
22,10659.0
23,11055.0
24,11550.0
25,11946.0
26,12341.0
27,12736.0
28,13229.0
29,13622.0
30,14015.0
31,14506.0
32,14898.0
33,15289.0
34,15680.0
35,16167.0
36,16557.0
37,16946.0
38,17334.0
39,17818.0
40,18205.0
41,18590.0
42,18976.0
43,19456.0
44,19840.0
45,20223.0
46,20700.0
47,21081.0
48,21462.0
49,21841.0
50,22315.0
51,22692.0
52,23069.0
53,23445.0
54,23914.0
55,24288.0
56,24661.0
57,25033.0
58,25497.0
59,25866.0
60,26235.0
61,26695.0
62,27062.0
63,27428.0
64,27792.0
65,28247.0
66,28609.0
67,28970.0
68,29331.0
69,29779.0
70,30137.0
71,30493.0
72,30849.0
73,31291.0
74,31644.0
75,31995.0
76,32433.0
77,32782.0
78,33130.0
79,33476.0
80,33907.0
81,34251.0
82,34593.0
83,34934.0
84,35358.0
85,35696.0
86,36032.0
87,36367.0
88,36785.0
89,37117.0
90,37447.0
91,37859.0
92,38186.0
93,38512.0
94,38837.0
95,39241.0
96,39562.0
97,39882.0
98,40200.0
99,40596.0
100,40911.0
101,41224.0
102,41536.0
103,41924.0
104,42232.0
105,42539.0
106,42920.0
107,43223.0
108,43524.0
109,43824.0
110,44197.0
111,44493.0
112,44787.0
113,45080.0
114,45443.0
115,45732.0
116,46019.0
117,46305.0
118,46659.0
119,46941.0
120,47220.0
121,47567.0
122,47843.0
123,48117.0
124,48389.0
125,48727.0
126,48995.0
127,49261.0
128,49525.0
129,49853.0
130,50113.0
131,50371.0
132,50627.0
133,50945.0
134,51197.0
135,51447.0
136,51757.0
137,52003.0
138,52246.0
139,52488.0
140,52788.0
141,53025.0
142,53260.0
143,53493.0
144,53782.0
145,54011.0
146,54238.0
147,54462.0
148,54740.0
149,54960.0
150,55178.0
151,55448.0
152,55661.0
153,55873.0
154,56082.0
155,56340.0
156,56544.0
157,56747.0
158,56947.0
159,57194.0
160,57389.0
161,57582.0
162,57773.0
163,58009.0
164,58195.0
165,58378.0
166,58605.0
167,58784.0
168,58961.0
169,59135.0
170,59350.0
171,59519.0
172,59687.0
173,59851.0
174,60054.0
175,60214.0
176,60372.0
177,60527.0
178,60718.0
179,60868.0
180,61016.0
181,61198.0
182,61340.0
183,61481.0
184,61619.0
185,61788.0
