,0
0,33647.0
1,33647.0
2,33848.0
3,34049.0
4,34250.0
5,34501.0
6,34702.0
7,34902.0
8,35103.0
9,35354.0
10,35554.0
11,35754.0
12,35955.0
13,36205.0
14,36404.0
15,36604.0
16,36854.0
17,37053.0
18,37252.0
19,37451.0
20,37700.0
21,37899.0
22,38097.0
23,38295.0
24,38543.0
25,38741.0
26,38938.0
27,39136.0
28,39382.0
29,39579.0
30,39775.0
31,40021.0
32,40217.0
33,40412.0
34,40608.0
35,40851.0
36,41046.0
37,41241.0
38,41435.0
39,41677.0
40,41870.0
41,42063.0
42,42256.0
43,42496.0
44,42688.0
45,42879.0
46,43118.0
47,43308.0
48,43499.0
49,43688.0
50,43925.0
51,44114.0
52,44302.0
53,44490.0
54,44725.0
55,44912.0
56,45098.0
57,45284.0
58,45516.0
59,45701.0
60,45885.0
61,46115.0
62,46299.0
63,46482.0
64,46664.0
65,46891.0
66,47072.0
67,47253.0
68,47433.0
69,47657.0
70,47836.0
71,48014.0
72,48192.0
73,48413.0
74,48590.0
75,48765.0
76,48984.0
77,49159.0
78,49333.0
79,49506.0
80,49721.0
81,49893.0
82,50064.0
83,50235.0
84,50447.0
85,50616.0
86,50784.0
87,50951.0
88,51160.0
89,51326.0
90,51491.0
91,51697.0
92,51861.0
93,52024.0
94,52186.0
95,52388.0
96,52549.0
97,52709.0
98,52868.0
99,53066.0
100,53223.0
101,53380.0
102,53536.0
103,53730.0
104,53884.0
105,54037.0
106,54228.0
107,54379.0
108,54530.0
109,54680.0
110,54866.0
111,55014.0
112,55161.0
113,55308.0
114,55489.0
115,55634.0
116,55777.0
117,55920.0
118,56097.0
119,56238.0
120,56378.0
121,56551.0
122,56689.0
123,56826.0
124,56962.0
125,57131.0
126,57265.0
127,57398.0
128,57530.0
129,57694.0
130,57824.0
131,57953.0
132,58081.0
133,58240.0
134,58366.0
135,58491.0
136,58646.0
137,58769.0
138,58891.0
139,59012.0
140,59162.0
141,59280.0
142,59398.0
143,59514.0
144,59659.0
145,59773.0
146,59887.0
147,59999.0
148,60138.0
149,60248.0
150,60357.0
151,60492.0
152,60598.0
153,60704.0
154,60809.0
155,60938.0
156,61040.0
157,61141.0
158,61241.0
159,61365.0
160,61462.0
161,61559.0
162,61654.0
163,61772.0
164,61865.0
165,61957.0
166,62070.0
167,62160.0
168,62248.0
169,62335.0
170,62443.0
171,62527.0
172,62611.0
173,62693.0
174,62795.0
175,62875.0
176,62954.0
177,63031.0
178,63127.0
179,63202.0
180,63276.0
181,63367.0
182,63438.0
183,63508.0
184,63577.0
185,63662.0
186,63728.0
187,63794.0
188,63858.0
189,63936.0
190,63998.0
191,64058.0
192,64117.0
193,64189.0
194,64246.0
195,64301.0
196,64368.0
197,64421.0
198,64472.0
199,64522.0
200,64584.0
201,64631.0
202,64677.0
203,64722.0
204,64777.0
205,64820.0
206,64861.0
207,64901.0
208,64949.0
209,64986.0
210,65022.0
211,65066.0
212,65099.0
213,65131.0
214,65162.0
215,65199.0
216,65227.0
217,65254.0
218,65280.0
219,65310.0
220,65333.0
221,65355.0
222,65375.0
223,65399.0
224,65417.0
225,65433.0
226,65452.0
227,65466.0
228,65478.0
229,65489.0
230,65502.0
231,65510.0
232,65517.0
233,65523.0
234,65529.0
235,65532.0
236,65534.0
237,65535.0
238,65534.0
239,65532.0
240,65529.0
241,65523.0
242,65517.0
243,65510.0
244,65502.0
245,65489.0
246,65478.0
247,65466.0
248,65452.0
249,65433.0
250,65417.0
251,65399.0
252,65380.0
253,65355.0
254,65333.0
255,65310.0
256,65280.0
257,65254.0
258,65227.0
259,65199.0
260,65162.0
261,65131.0
262,65099.0
263,65066.0
264,65022.0
265,64986.0
266,64949.0
267,64911.0
268,64861.0
269,64820.0
270,64777.0
271,64722.0
272,64677.0
273,64631.0
274,64584.0
275,64522.0
276,64472.0
277,64421.0
278,64368.0
279,64301.0
280,64246.0
281,64189.0
282,64132.0
283,64058.0
284,63998.0
285,63936.0
286,63858.0
287,63794.0
288,63728.0
289,63662.0
290,63577.0
291,63508.0
292,63438.0
293,63367.0
294,63276.0
295,63202.0
296,63127.0
297,63051.0
298,62954.0
299,62875.0
300,62795.0
301,62693.0
302,62611.0
303,62527.0
304,62443.0
305,62335.0
306,62248.0
307,62160.0
308,62070.0
309,61957.0
310,61865.0
311,61772.0
312,61678.0
313,61559.0
314,61462.0
315,61365.0
316,61241.0
317,61141.0
318,61040.0
319,60938.0
320,60809.0
321,60704.0
322,60598.0
323,60492.0
324,60357.0
325,60248.0
326,60138.0
327,60027.0
328,59887.0
329,59773.0
330,59659.0
331,59514.0
332,59398.0
333,59280.0
334,59162.0
335,59012.0
336,58891.0
337,58769.0
338,58646.0
339,58491.0
340,58366.0
341,58240.0
342,58113.0
343,57953.0
344,57824.0
345,57694.0
346,57530.0
347,57398.0
348,57265.0
349,57131.0
350,56962.0
351,56826.0
352,56689.0
353,56551.0
354,56378.0
355,56238.0
356,56097.0
357,55956.0
358,55777.0
359,55634.0
360,55489.0
361,55308.0
362,55161.0
363,55014.0
364,54866.0
365,54680.0
366,54530.0
367,54379.0
368,54228.0
369,54037.0
370,53884.0
371,53730.0
372,53575.0
373,53380.0
374,53223.0
375,53066.0
376,52868.0
377,52709.0
378,52549.0
379,52388.0
380,52186.0
381,52024.0
382,51861.0
383,51697.0
384,51491.0
385,51326.0
386,51160.0
387,50993.0
388,50784.0
389,50616.0
390,50447.0
391,50235.0
392,50064.0
393,49893.0
394,49721.0
395,49506.0
396,49333.0
397,49159.0
398,48984.0
399,48765.0
400,48590.0
401,48413.0
402,48236.0
403,48014.0
404,47836.0
405,47657.0
406,47433.0
407,47253.0
408,47072.0
409,46891.0
410,46664.0
411,46482.0
412,46299.0
413,46115.0
414,45885.0
415,45701.0
416,45516.0
417,45331.0
418,45098.0
419,44912.0
420,44725.0
421,44490.0
422,44302.0
423,44114.0
424,43925.0
425,43688.0
426,43499.0
427,43308.0
428,43118.0
429,42879.0
430,42688.0
431,42496.0
432,42304.0
433,42063.0
434,41870.0
435,41677.0
436,41435.0
437,41241.0
438,41046.0
439,40851.0
440,40608.0
441,40412.0
442,40217.0
443,40021.0
444,39775.0
445,39579.0
446,39382.0
447,39185.0
448,38938.0
449,38741.0
450,38543.0
451,38295.0
452,38097.0
453,37899.0
454,37700.0
455,37451.0
456,37252.0
457,37053.0
458,36854.0
459,36604.0
460,36404.0
461,36205.0
462,36005.0
463,35754.0
464,35554.0
465,35354.0
466,35103.0
467,34902.0
468,34702.0
469,34501.0
470,34250.0
